Title,Print ISSN,e-ISSN
ACM SIGGROUP Bulletin,,
ACM SIGHIT Record,,2158-8813
ACM SIGICE Bulletin,,
ACM SIGIR Forum,0163-5840,
ACM SIGITE Newsletter,,1550-1469
ACM SIGKDD Explorations Newsletter,1931-0145,1931-0153
ACM SIGLASH Newsletter,0036-147X,1931-1095
ACM SIGMAP Bulletin,0163-5786,1931-1184
ACM SIGMETRICS Performance Evaluation Review,0163-5999,
ACM SIGMICRO Newsletter,1050-916X,
ACM SIGMINI Newsletter,0163-576X,
ACM SIGMIS Database,0095-0033,
ACM SIGMOBILE Mobile Computing and Communications Review,1559-1662,1931-1222
ACM SIGMOD Record,0163-5808,
ACM SIGMultimedia Records,,1947-4598
ACM SIGNUM Newsletter,0163-5778,
ACM SIGOA Newsletter,0737-819X,
ACM SIGOIS Bulletin,0894-0819,
ACM SIGOPS Operating Systems Review,0163-5980,
ACM SIGPC Notes,0163-5816,
ACM SIGPLAN Fortran Forum,1061-7264,1931-1311
ACM SIGPLAN Lisp Pointers,1045-3563,
ACM SIGPLAN Notices,0362-1340,
ACM SIGPLAN OOPS Messenger,1055-6400,
ACM SIGSAC Review,0277-920X,
ACM SIGSAM Bulletin,0163-5824,
ACM SIGSIM Simulation Digest,0163-6103,
ACM SIGSMALL Newsletter,0272-720X,
ACM SIGSMALL/PC Notes,0893-2875,
ACM SIGSOC Bulletin,0163-5794,
ACM SIGSOFT Software Engineering Notes,0163-5948,
ACM SIGUCCS Newsletter,0736-6892,
ACM SIGWEB Newsletter,1931-1745,1931-1435
ACM Transactions on Accessible Computing,1936-7228,1936-7236
ACM Transactions on Algorithms,1549-6325,1549-6333
ACM Transactions on Applied Perception,1544-3558,1544-3965
ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973
ACM Transactions on Asian Language Information Processing,1530-0226,1558-3430
ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703
ACM Transactions on Computation Theory,1942-3454,1942-3462
ACM Transactions on Computational Logic,1529-3785,1557-945X
ACM Transactions on Computer Systems,0734-2071,1557-7333
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325
ACM Transactions on Computing Education,,1946-6226
ACM Transactions on Database Systems,0362-5915,1557-4644
ACM Transactions on Design Automation of Electronic Systems,1084-4309,1557-7309
ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465
ACM Transactions on Graphics,0730-0301,1557-7368
ACM Transactions on Information and System Security,1094-9224,1557-7406
ACM Transactions on Information Systems,1046-8188,1558-2868
ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912
ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463
ACM Transactions on Internet Technology,1533-5399,1557-6051
ACM Transactions on Knowledge Discovery from Data,1556-4681,1556-472X
ACM Transactions on Management Information Systems,2158-656X,
ACM Transactions on Mathematical Software,0098-3500,1557-7295
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195
"ACM Transactions on Multimedia Computing, Communications, and Applications",1551-6857,1551-6865
ACM Transactions on Programming Languages and Systems,0164-0925,1558-4593
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414
ACM Transactions on Sensor Networks,1550-4859,1550-4867
ACM Transactions on Software Engineering and Methodology,1049-331X,1557-7392
ACM Transactions on Speech and Language Processing,1550-4875,1550-4883
ACM Transactions on Storage,1553-3077,1553-3093
ACM Transactions on the Web,1559-1131,1559-114X
ACOG Clinical Review,1085-6862,
Acoustical Arts and Artifacts,1824-6176,1825-3873
Acoustical Physics,1063-7710,1562-6865
"Acoustics, Speech and Signal Processing (ICASSP),IEEE International Conference on",1520-6149,
Acquisitions Librarian,0896-3576,1544-435X
Across Languages and Cultures,1585-1923,1588-2519
ACS Applied Materials and Interfaces,1944-8244,1944-8252
ACS Catalysis,,2155-5435
ACS Chemical Biology,1554-8929,1554-8937
ACS Chemical Neuroscience,,1948-7193
ACS Combinatorial Science,2156-8952,2156-8944
ACS Macro Letters,,2161-1653
ACS Medicinal Chemistry Letters,,1948-5875
ACS Nano,1936-0851,1936-086X
ACS Synthetic Biology,,2161-5063
ACSM's Health and Fitness Journal,1091-5397,
Acta Agriculturae Scandinavica,0001-5121,
Acta Agriculturae Scandinavica A - Animal Sciences,0906-4702,1651-1972
Acta Agriculturae Scandinavica B - Plant Soil Sciences,0906-4710,1651-1913
Acta Agriculturae Scandinavica C - Food Economics,1650-7541,1651-288X
Acta Agronomica Hungarica,0238-0161,1588-2527
Acta Agronomica Sinica,1875-2780,
Acta Alimentaria,0139-3006,1588-2535
Acta Anaesthesiologica Scandinavica,0001-5172,1399-6576
Acta Antiqua Academiae Scientiarum Hungaricae,0044-5975,1588-2543
Acta Applicandae Mathematica,0167-8019,1572-9036
Acta Archaeologica,0065-101X,1600-0390
Acta Archaeologica Academiae Scientiarum Hungaricae,0001-5210,1588-2551
Acta Astronautica,0094-5765,
Acta Automatics Sinica,1874-1029,
Acta Biochimica et Biophysica Sinica,1672-9145,1745-7270
Acta Biologica Hungarica,0236-5383,1588-256X
Acta Biomaterialia,1742-7061,
Acta Biotechnologica,0138-4988,1521-3846
Acta Borealia,0800-3831,1503-111X
Acta Botanica Hungarica,0236-6495,1588-2578
Acta Chiropterologica,1508-1109,1733-5329
Acta Chirurgica Austriaca,0001-544X,
Acta Chromatographica,1233-2356,
Acta Crystallographica Section A,0108-7673,
Acta Crystallographica Section B: Structural Science,0108-7681,1600-5740
Acta Crystallographica Section C: Crystal Structure Communications,0108-2701,1600-5759
Acta Crystallographica Section D: Biological Crystallography,0907-4449,1399-0047
Acta Crystallographica Section F,,1744-3091
Acta Cytologica,0001-5547,1938-2650
Acta Ecologica Sinica,1872-2032,
Acta Endocrinologica,0001-5598,
Acta Ethnographica Hungarica,1216-9803,1588-2586
Acta Geodaetica et Geophysica Hungarica,1217-8977,1587-1037
Acta Geologica Sinica,1000-9515,1755-6724
Acta Geophysica,1895-6572,1895-7455
Acta Geotechnica,1861-1125,1861-1133
Acta Haematologica,0001-5792,1421-9662
Acta Histochemica,0065-1281,
Acta Homoeopathica,0001-5881,
Acta Hydrochimica et Hydrobiologica,0323-4320,1521-401X
Acta Informatica,0001-5903,1432-0525
Acta Juridica Hungarica,1216-2574,1588-2616
Acta Linguistica Hafniensia,0374-0463,1949-0763
Acta Linguistica Hungarica,1216-8076,1588-2624
Acta Materialia,1359-6454,
Acta Mathematica Hungarica,0236-5294,1588-2632
Acta Mathematica Scientia,0252-9602,1572-9087
"Acta Mathematica Sinica, English Series",1439-8516,1439-7617
Acta Mathematicae Applicatae Sinica,0168-9673,1618-3932
Acta Mechanica,0001-5970,1619-6937
Acta Mechanica Sinica,0567-7718,1614-3116
Acta Metallurgica,0001-6160,
Acta Metallurgica et Materialia,0956-7151,
Acta Metallurgica Sinica,1006-7191,
Acta Meteorologica Sinica,0894-0525,2191-4788
Acta Microbiologica et Immunologica Hungarica,1217-8950,1588-2640
Acta Neurochirurgica,0001-6268,0942-0940
Acta Neurologica Scandinavica,0001-6314,1600-0404
Acta Neuropathologica,0001-6322,1432-0533
Acta Neuropsychiatrica,0924-2708,1601-5215
Acta Numerica,0962-4929,1474-0508
Acta Obstetricia et Gynecologica Scandinavica (Informa),0001-6349,1600-0412
Acta Obstetricia et Gynecologica Scandinavica (T&F),0001-6349,1600-0412
Acta Obstetricia et Gynecologica Scandinavica (Wiley),0001-6349,1600-0412
Acta Odontologica Scandinavica (Informa),0001-6357,1502-3850
Acta Odontologica Scandinavica (T&F),0001-6357,1502-3850
Acta Oecologica,1146-609X,
Acta Oeconomica,0001-6373,1588-2659
Acta Oncologica (Informa),0284-186X,1651-226X
Acta Oncologica (T&F),0284-186X,1651-226X
Acta Ophthalmologica,1755-375X,1755-3768
Acta Orientalia Academiae Scientiarum Hungaricae,0001-6446,1588-2667
Acta Ornithologica,0001-6454,
Acta Orthopaedica (Informa),1745-3674,1745-3682
Acta Orthopaedica (T&F),1745-3674,1745-3682
Acta Oto-laryngologica (Informa),0001-6489,1651-2551
Acta Oto-laryngologica (T&F),0001-6489,1651-2251
Acta Paediatrica,0803-5253,1651-2227
Acta Palaeontologica Polonica,0567-7920,1732-2421
Acta Parasitologica,1230-2821,1896-1851
Acta Pathologica Microbiologica et Immunologica Scandinavica,0903-4641,1600-0463
Acta Philosophica,1121-2179,1825-6562
Acta Physico-Chimica Sinica,1872-1508,
Acta Physiologiae Plantarum,0137-5881,1861-1664
Acta Physiologica,1748-1708,1748-1716
Acta Physiologica Hungarica,0231-424X,1588-2683
Acta Physiologica Scandinavica,1365-201X,0001-6772
Acta Phytopathologica et Entomologica Hungarica,0238-1249,1588-2691
Acta Politica,0001-6810,1741-1416
Acta Polymerica,0323-7648,1521-4044
Acta Psychiatrica Scandinavica,0001-690X,1600-0447
Acta Psychologica,0001-6918,
Acta Radiologica (Informa),0284-1851,1600-0455
Acta Radiologica (RSM),0284-1851,1600-0455
Acta Radiologica (T&F),0284-1851,1600-0455
Acta Sociologica,0001-6993,1502-3869
Acta Theriologica,0001-7051,2190-3743
Acta Tropica,0001-706X,
Acta Veterinaria Hungarica,0236-6290,1588-2705
Acta Veterinaria Scandinavica,,1751-0147
Acta Vulcanologica,1121-9114,1724-0425
Acta Zoologica (Elsevier),0001-7272,
Acta Zoologica (Wiley),0001-7272,1463-6395
Action in Teacher Education,0162-6620,2158-6098
Action Learning: Research & Practice,1476-7333,1476-7341
Action Research,1476-7503,1741-2617
Active and Passive Electronic Components,0882-7516,1563-5031
Active Learning in Higher Education,1469-7874,1741-2625
"Activities, Adaptation & Aging",0192-4788,1544-4368
"Activities, Adaptation & Aging",0192-4788,1544-4368
Acute Cardiac Care (Informa),1748-2941,1748-295X
Acute Cardiac Care (T&F),1748-2941,1748-295X
Acute Pain,1366-0071,
Ad Hoc Networks,1570-8705,
Adansonia,1280-8571,
Adaptation,1755-0637,1755-0645
Adaptive Behaviour,1059-7123,1741-2633
Addiction,0965-2140,1360-0443
Addiction Abstracts,0968-7610,1469-2856
Addiction Biology,1355-6215,1369-1600
Addiction Research & Theory (Informa),1606-6359,1476-7392
Addiction Research & Theory (T&F),1606-6359,1476-7392
Addiction Science & Clinical Practice,1940-0632,1940-0640
Addictive Behaviors,0306-4603,
Addictive Disorders and their Treatment,1531-5754,
Additives for Polymers,0306-3747,
Adelphi Papers,0567-932X,1478-5145
Adelphi Series,1944-5571,1944-558X
Administration & Society,0095-3997,1552-3039
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289
Administration in Social Work,0364-3107,1544-4376
Administration in Social Work,0364-3107,1544-4376
Administrative Theory & Praxis: A Journal of Dialogue in Public Administration Theory,1084-1806,1949-0461
Adoption & Fostering,0308-5759,1740-469X
Adoption Quarterly,1092-6755,1544-452X
Adoption Quarterly,1092-6755,1544-452X
Adsorption,0929-5607,1572-8757
Adult Education Quarterly,0741-7136,1552-3047
Advanced Cement Based Materials,1065-7355,
Advanced Composite Materials,0924-3046,1568-5519
Advanced Drug Delivery Reviews,0169-409X,
Advanced Emergency Nursing Journal,1931-4485,
Advanced Energy Conversion,0365-1789,
Advanced Engineering Informatics,1474-0346,
Advanced Engineering Materials,1438-1656,1527-2648
Advanced Functional Materials,1616-301X,1616-3028
"Advanced Issues of E-Commerce and Web-Based Information Systems (WECWIS), International Workshop on",1530-1354,
Advanced Materials,0935-9648,1521-4095
Advanced Materials for Optics and Electronics,1057-9257,1099-0712
Advanced Powder Technology,0921-8831,1568-5527
Advanced Research in Asynchronous Circuits and Systems (ASYNC) Proceedings of the International Symposium on,1522-8681,
Advanced Robotics,0169-1864,1568-5535
Advanced Robotics,0169-1864,1568-5535
"Advanced Semiconductor Manufacturing 2002 Conference and Workshop (ASMC), IEEE/SEMI",1078-8743,
Advanced Synthesis & Catalysis,1615-4150,1615-4169
Advances in Acoustics and Vibration,1687-6261,1687-627X
Advances in Adaptive Data Analysis,1793-5369,1793-7175
Advances in Alcohol & Substance Abuse,0270-3106,
Advances in Anatomic Pathology,1072-4109,1533-4031
Advances in Anesthesia,0737-6146,
Advances in Applied Biodiversity Science,,
Advances in Applied Ceramics,1743-6753,1743-6761
Advances in Applied Clifford Algebras,0188-7009,1661-4909
Advances in Applied Mathematics,0196-8858,
Advances in Artificial Intelligence,1687-7470,1687-7489
Advances in Artificial Neural Systems,1687-7594,1687-7608
Advances in Astronomy,1687-7969,1687-7977
Advances in Atmospheric Sciences,0256-1530,1861-9533
Advances in Behaviour Research and Therapy,0146-6402,
Advances in Bioinformatics,1687-8027,1687-8035
Advances in Biophysics,0065-227X,
Advances in Building Energy Research,1751-2549,1756-2201
Advances in Calculus of Variations,1864-8258,1864-8266
Advances in Cement Research,0951-7197,1751-7605
Advances in Civil Engineering,1687-8086,1687-8094
Advances in Colloid and Interface Science,0001-8686,
Advances in Complex Systems,0219-5259,1793-6802
Advances in Computational Mathematics,1019-7168,1572-9044
Advances in Condensed Matter Physics,1687-8108,1687-8124
Advances in Data Analysis and Classification,1862-5347,1862-5355
Advances in Decision Sciences,2090-3359,2090-3367
Advances in Dental Research,0895-9374,1544-0737
Advances in Dermatology,0882-0880,
Advances in Developing Human Resources,1523-4223,1552-3055
Advances in Difference Equations,1687-1839,1687-1847
Advances in Dual Diagnosis,1757-0972,2042-8324
Advances in Economic Analysis & Policy,,1538-0637
Advances in Engineering Software,0965-9978,
Advances in Engineering Software (1978),0141-1195,
Advances in Engineering Software and Workstations,0961-3552,
Advances in Environmental Research,1093-0191,
Advances in Enzyme Regulation,0065-2571,
Advances in Free Radical Biology and Medicine,8755-9668,
Advances in Fuzzy Systems,1687-7101,1687-711X
Advances in Geometry,1615-715X,1615-7168
Advances in Geosciences,1680-7340,1680-7359
Advances in Gerontology,2079-0570,2079-0589
Advances in Health Sciences Education,1382-4996,1573-1677
Advances in Hematology,1687-9104,1687-9112
Advances in High Energy Physics,1687-7357,1687-7365
Advances in Human-Computer Interaction,1687-5893,1687-5907
Advances in Life Course Research,1040-2608,1879-6974
Advances in Macroeconomics,,1534-6013
Advances in Management Information Systems,1554-6152,1554-6160
Advances in Materials Science and Engineering,1687-8434,1687-8442
Advances in Mathematical Physics,1687-9120,1687-9139
Advances in Mathematics,0001-8708,
Advances in Mechanical Engineering,1687-8132,1687-8140
Advances in Mental Health and Intellectual Disabilities,2044-1282,2044-1290
Advances in Meteorology,1687-9309,1687-9317
Advances in Molecular Relaxation and Interaction Processes,0378-4487,
Advances in Molecular Relaxation Processes,0001-8716,
Advances in Multimedia,1687-5680,1687-5699
Advances in Natural Sciences: Nanoscience and Nanotechnology,2043-6254,2043-6262
Advances in Neonatal Care (Elsevier),1536-0903,
Advances in Neonatal Care (Wolters Kluwer Health),1536-0903,
Advances in Neuroimmunology,0960-5428,
Advances in Nonlinear Optics,1687-7276,1687-7284
Advances in Numerical Analysis,1687-9562,1687-9570
Advances in Nursing Science,0161-9268,
Advances in Oceanography & Limnology,1947-5721,1947-573X
Advances in Operations Research,1687-9147,1687-9155
Advances in Optical Technologies,1687-6393,1687-6407
Advances in Optics and Photonics,,1943-8206
Advances in OptoElectronics,1687-563X,1687-5648
Advances in Orthopedics,2090-3464,2090-3472
Advances in Pediatrics,0065-3101,
Advances in Pharmacological Sciences,1687-6334,1687-6342
Advances in Physical Chemistry,1687-7985,1687-7993
Advances in Physics,0001-8732,1460-6976
Advances in Physiotherapy (Informa),1403-8196,1651-1948
Advances in Physiotherapy (T&F),1403-8196,1651-1948
Advances in Polymer Technology,0730-6679,1098-2329
Advances in Power Electronics,2090-181X,2090-1828
Advances in Preventive Medicine,2090-3480,2090-3499
Advances in Pure and Applied Mathematics,1867-1152,1869-6090
Advances in Radio Science,1684-9965,1684-9973
Advances in School Mental Health Promotion,1754-730X,2049-8535
Advances in Science and Research,1992-0628,1992-0636
Advances in Skin and Wound Care,1527-7941,
Advances in Software Engineering,1687-8655,1687-8663
Advances in Space Research,0273-1177,
Advances in Speech Language Pathology,1441-7049,1742-9528
Advances in Surgery,0065-3411,
Advances in Synchrotron Radiation,1793-6179,1793-7124
Advances in the History of Rhetoric,1536-2426,1936-0835
Advances in Theoretical Economics,,1534-5963
Advances in Tribology,1687-5915,1687-5923
Advances in Urology,1687-6369,1687-6377
Advances in Virology,1687-8639,1687-8647
Advances in Water Resources,0309-1708,
Advances in Wound Care,1076-2191,
Adverse Drug Reaction Bulletin,0044-6394,
Aequationes Mathematicae,0001-9054,1420-8903
Aerobiologia,0393-5965,1573-3025
AeroMedical Journal,0894-8321,
Aerosol Science & Technology,0278-6826,1521-7388
Aerospace Conference Proceedings IEEE,1095-323X,
Aerospace Science and Technology,1270-9638,
Aesthetic Plastic Surgery,0364-216X,1432-5241
Aesthetic Surgery Journal (Elsevier),1090-820X,
Aesthetic Surgery Journal (Sage),1090-820X,1527-330X
AEÜ - International Journal of Electronics and Communications,1434-8411,
Affilia,0886-1099,1552-3020
Africa,0001-9720,1750-0184
Africa Bibliography,0266-6731,1757-1642
Africa Education Review,1814-6627,1753-5921
"Africa Research Bulletin: Economic, Financial and Technical Series",0001-9852,1467-6346
"Africa Research Bulletin: Political, Social and Cultural Series",0001-9844,1467-825X
Africa Today,0001-9887,1527-1978
African Affairs,0001-9909,1468-2621
African and Asian Studies,1569-2094,1569-2108
African and Black Diaspora: An International Journal,1752-8631,1752-864X
African Archaeological Review,0263-0338,1572-9842
African Arts,0001-9933,1973-2108
African Book Publishing Record,0306-0322,7865-8717
African Conflict and Peacebuilding Review,2156-695X,2156-7263
African Development Review,1017-6772,1467-8268
African Diaspora,1872-5457,1872-5465
African Entomology,1021-3589,
African Geographical Review,1937-6812,2163-2642
African Historical Review,1753-2523,1753-2531
African Identities,1472-5843,1472-5851
African Journal of AIDS Research,1608-5906,1727-9445
African Journal of Aquatic Science,1608-5914,1727-9364
African Journal of Ecology,0141-6707,1365-2028
African Journal of Herpetology,2156-4574,2153-3660
African Journal of Information & Communication Technology,,1449-2679
African Journal of International & Comparative Law,0954-8890,1755-1609
African Journal of Legal Studies,2210-9730,1708-7384
African Journal of Marine Science,1814-232X,1814-2338
African Journal of Paediatric Surgery,0189-6725,0974-5998
African Journal of Range & Forage Science,1022-0119,1727-9380
African Security,1939-2206,1939-2214
African Security Review,1024-6029,2154-0128
African Studies,0002-0184,1469-2872
African Yearbook of International Law Online,,2211-6176
African Zoology,1562-7020,
Afrika Matematica,1012-9405,2190-7668
"Afterall: A Journal of Art, Context, and Enquiry",1465-4253,2156-4914
Age and Ageing,0002-0729,1468-2834
Ageing & Society,0144-686X,1469-1779
Ageing International,0163-5158,1936-606X
Ageing Research Reviews,1568-1637,
Agenda,1013-0950,2158-978X
Aggression and Violent Behavior,1359-1789,
Aggressive Behavior,0096-140X,1098-2337
Aging & Mental Health,1360-7863,1364-6915
Aging Cell,1474-9718,1474-9726
Aging Male (T&F),1368-5538,1473-0790
"Aging, Neuropsychology, and Cognition",1382-5585,1744-4128
Agrekon,0303-1853,2078-0400
Agri Centuriati,1724-904X,1825-1277
Agribusiness,0742-4477,1520-6297
Agricultural Administration,0309-586X,
Agricultural Administration and Extension,0269-7475,
Agricultural and Forest Entomology,1461-9555,1461-9563
Agricultural and Forest Meteorology,0168-1923,
Agricultural Economics (Elsevier),0169-5150,
Agricultural Economics (Wiley),0169-5150,1574-0862
Agricultural Finance Review,0002-1466,
Agricultural Meteorology,0002-1571,
Agricultural Sciences in China,1671-2927,
Agricultural Systems,0308-521X,
Agricultural Wastes,0141-4607,
Agricultural Water Management,0378-3774,
Agriculture & Food Security,,2048-7010
Agriculture and Environment,0304-1131,
Agriculture and Human Values,0889-048X,1572-8366
"Agriculture, Ecosystems & Environment",0167-8809,
Agro-Ecosystems,0304-3746,
Agroforestry Systems,0167-4366,1572-9680
Agrokémia és Talajtan,0002-1873,1588-2713
Agypten und Levante,1015-5104,1813-5145
AI EDAM,0890-0604,1469-1760
AIChE Journal,0001-1541,1547-5905
AIDS,0269-9370,
AIDS and Behavior,1090-7165,1573-3254
AIDS Care,0954-0121,1360-0451
AIDS Education and Prevention: An Interdisciplinary Journal,0899-9546,1943-2755
AIDS Patient Care and STDs,1087-2914,1557-7449
AIDS Research and Human Retroviruses,0889-2229,1931-8405
AIDS Research and Therapy,,1742-6405
AIDS Research and Treatment,2090-1240,2090-1259
AIHAJ: A Journal for the Science of Occupational and Environmental Health and Safety,1529-8663,
AILA Review,1461-0213,1570-5595
"AINS - Anästhesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie",0939-2661,1439-1074
AIP Advances,,2158-3226
Air & Space Europe,1290-0958,
Air Medical Journal,1067-991X,
"Air Quality, Atmosphere and Health",1873-9318,1873-9326
Aircraft Design,1369-8869,
Aircraft Engineering and Aerospace Technology,0002-2667,1758-4213
AJOB Neuroscience,2150-7740,2150-7759
AJOB Primary Research,2150-7716,2150-7724
Akadémiai ÉrtesítQ,0865-9303,1588-2721
Aktuelle Dermatologie,0340-2541,1438-938X
Aktuelle Ernährungsmedizin,0341-0501,1438-9916
Aktuelle Neurologie,0302-4350,1438-9428
Aktuelle Rheumatologie,0341-051X,1438-9940
Aktuelle Traumatologie,0044-6173,1438-9436
Aktuelle Urologie,0001-7868,1438-8820
Al & Society,0951-5666,1435-5655
Al-Masaq: Islam & the Medieval Mediterranean,0950-3110,1473-348X
Alcheringa,0311-5518,1752-0754
Alcohol,0741-8329,
Alcohol and Alcoholism,0735-0414,1464-3502
Alcoholism & Drug Abuse Weekly,1042-1394,1556-7591
Alcoholism Treatment Quarterly,0734-7324,1544-4538
Alcoholism Treatment Quarterly,0734-7324,1544-4538
Alcoholism: Clinical and Experimental Research,0145-6008,1530-0277
Aleph,1565-1525,1565-5423
Alexandria,0955-7490,2050-4551
Algebra and Logic,0002-5232,1573-8302
Algebra Colloquium,1005-3867,0219-1733
Algebra Universalis,0002-5240,1420-8911
Algebras and Representation Theory,1386-923X,1572-9079
Algorithmica,0178-4617,1432-0541
Algorithms for Molecular Biology,,1748-7188
Alimentary Pharmacology & Therapeutics,0269-2813,1365-2036
Allergy,0105-4538,1398-9995
"Allergy, Asthma & Clinical Immunology",,1710-1492
Allgemein Homöopathische Zeitung,1438-2563,1439-8990
Allgemein- und Viszeralchirurgie Up2date,1611-6437,1611-6461
Almagest,1792-2593,
Alpha Omegan,0002-6417,
Alpine Botany,1664-2201,1664-221X
ALT-J: Research in Learning Technology,0968-7769,1741-1629
Alter - European Journal of Disability Research/Journal Européen de Recherche sur le Handicap,1875-0672,
Alternative & Complementary Therapies,1076-2809,1557-9085
Alternative Health Practitioner,1076-1675,
Alternatives to the High Cost of Litigation,1549-4373,1549-4381
"Alternatives: Global, Local, Political",0304-3754,2163-3150
Alzheimer Disease and Associated Disorders,0893-0341,
Alzheimer's and Dementia,1552-5260,
Alzheimer's Care Quarterly,1525-3279,
Alzheimer's Care Today,1936-3001,
Alzheimer's Research & Therapy,,1758-9193
AMA American Journal of Diseases of Children,0096-8994,1538-3628
AMA Archives of Dermatology,0096-5359,1538-3652
AMA Archives of Dermatology and Syphilology,0096-5979,1538-3652
AMA Archives of General Psychiatry,0375-8532,1538-3636
AMA Archives of Internal Medicine,0888-2479,1538-3679
AMA Archives of Neurology,0375-8540,1538-3687
AMA Archives of Ophthalmology,0096-6339,1538-3601
AMA Archives of Otolaryngology,0096-6894,1538-361X
AMA Archives of Surgery,0096-6908,1538-3644
Ambio: A Journal of the Human Environment (BioOne),0044-7447,0301-0325
AMBIO: A Journal of the Human Environment (Springer),0044-7447,1654-7209
Ambix,0002-6980,1745-8234
Ambulatory Pediatrics,1530-1567,1539-4409
Ambulatory Surgery,0966-6532,
American Anthropologist (AAA),0002-7294,1548-1433
American Anthropologist (Wiley),0002-7294,1548-1433
American Art,1073-9300,1549-6503
American Behavioral Scientist,0002-7642,1552-3381
American Biology Teacher (BioOne),0002-7685,
American Biology Teacher (UCAL),0002-7685,1938-4211
American Business Law Journal,0002-7766,1744-1714
American Catholic Philosophical Quarterly,1051-3558,2153-8441
American Communist History,1474-3892,1474-3906
American Economic Journal: Applied Economics,1945-7782,1945-7790
American Economic Journal: Economic Policy,1945-7731,1945-774X
American Economic Journal: Macroecnomics,1945-7707,1945-7715
American Economic Journal: Microeconomics,1945-7669,1945-7685
American Economic Review,0002-8282,
American Educational Research Journal,0002-8312,1935-1011
American Entomologist,1046-2821,2155-9902
