2322-1984,2322-2271,2322-1984,"Journal of arthropod-borne diseases.","J Arthropod Borne Dis",,"J Arthropod Borne Dis"
2277-9183,,,"International journal of environmental health engineering","Int J Environ Health Eng",,"Int J Environ Health Eng"
,1927-7229,,"Journal of analytical oncology","J Anal Oncol",,"J Anal Oncol"
,2090-9438,2090-9438,"ISRN minimally invasive surgery","ISRN Minim Invasive Surg",,"ISRN Minim Invasive Surg"
,2162-4941,,"Current translational geriatrics and experimental gerontology reports","Curr Transl Geriatr Exp Gerontol Rep",,"Curr Transl Geriatr Exp Gerontol Rep"
2212-4438,,,"Journal of the world federation of orthodontists.","J World Fed Orthod",,"J World Fed Orthod"
2287-3732,2287-3740,2287-3732,"Clinical nutrition research.","Clin Nutr Res",CNR,"Clin Nutr Res"
,,,"International journal of evolution","Int J Evol",IEVJ,"Int J Evol"
,2047-9158,2047-9158,"Translational neurodegeneration","Transl Neurodegener",,"Transl Neurodegener"
2162-3988,2162-3996,2162-3988,JAK-STAT.,JAKSTAT,,JAKSTAT
2162-4046,2162-4054,,Worm.,Worm,,Worm
2251-9041,2251-905X,2251-9041,"Journal of crop protection.","J Crop Prot",,
,2162-3619,2162-3619,"Experimental hematology & oncology","Exp Hematol Oncol","Experimental hematology and oncology","Exp Hematol Oncol"
2212-2761,2212-277X,2212-2761,"Perspectives on medical education.","Perspect Med Educ",PME,"Perspect Med Educ"
,2048-6790,2048-6790,"Journal of nutritional science","J Nutr Sci",JNS,"J Nutr Sci"
,2212-8263,2212-8263,"e-SPEN journal","ESPEN J","eSPEN journal","ESPEN J"
,2050-6511,2050-6511,"BMC pharmacology & toxicology","BMC Pharmacol Toxicol","BMC pharmacology and toxicology","BMC Pharmacol Toxicol"
2095-3119,,2095-3119,"Journal of integrative agriculture.","J Integr Agric",JIA,"J Integr Agric"
1879-6397,1879-6400,,"Journal of Huntington's disease.","J Huntingtons Dis",,"J Huntingtons Dis"
,2090-908X,2090-908X,Scientifica,"Scientifica (Cairo)",,"Scientifica (Cairo)"
,2211-5943,2211-5943,"Hospital medicine clinics","Hosp Med Clin","Hosp Med Clin","Hosp Med Clin"
,2050-2273,2050-2273,"Journal of proteome science and computational biology","J Proteome Sci Comput Biol",,"J Proteome Sci Comput Biol"
,2090-9403,2090-9403,"ISRN Biotechnology","ISRN Biotechnol",,"ISRN Biotechnol"
2193-0635,2193-0643,,"Photonics & lasers in medicine.","Photonics Lasers Med","Photonics and lasers in medicine","Photonics Lasers Med"
1878-8181,,,"Biocatalysis and agricultural biotechnology.","Biocatal Agric Biotechnol",BAB,"Biocatal Agric Biotechnol"
1927-0461,1927-047X,,"Journal of Plant Studies.","J Plant Stud",,"J Plant Stud"
2234-8565,2287-3139,2234-8565,"Journal of cerebrovascular and endovascular neurosurgery.","J Cerebrovasc Endovasc Neurosurg",JCEN,"J Cerebrovasc Endovasc Neurosurg"
,,,"Journal of immunodeficiency & disorders","J immunodefic Disord",,"J immunodefic Disord"
,2190-8532,,"Security informatics","Secur Inform",,"Secur Inform"
,2045-8827,2045-8827,MicrobiologyOpen,Microbiologyopen,"Microbiology Open",Microbiologyopen
2160-4134,2160-4142,,"Psychology of popular media culture.","Psychol Pop Media Cult",PPMC,"Psychol Pop Media Cult"
2211-5552,2211-5544,,"Current molecular imaging.","Curr Mol Imaging",,"Curr Mol Imaging"
,2079-7737,2079-7737,"Biology : open access journal.","Biology (Basel)",Biology,"Biology (Basel)"
,2161-332X,,"Current respiratory care reports","Curr Respir Care Rep",,"Curr Respir Care Rep"
2045-452X,2045-4538,2045-452X,"Toxicology research.","Toxicol Res",,"Toxicol Res"
1927-7032,1927-7040,,"International journal of statistics and probability.","Int J Stat Probab",,"Int J Stat Probab"
,,,"Brain disorders & therapy","Brain Disord Ther","Brain disorders and therapy","Brain Disord Ther"
,2073-4468,2073-4468,Antibodies,"Antibodies (Basel)",,"Antibodies (Basel)"
,2161-3311,,"Current nutrition reports","Curr Nutr Rep",,"Curr Nutr Rep"
,2164-7712,,"American journal of clinical and experimental immunology","Am J Clin Exp Immunol","Am J Clin Exp Immunol","Am J Clin Exp Immunol"
1758-1923,1758-1931,1758-1923,"Breast cancer management.","Breast Cancer Manag",,"Breast Cancer Manag"
2047-9700,2047-9719,2047-9700,"International journal of healthcare management.",,IJHM,
2146-8346,,,"Journal of behavioral health.","J Behav Health",,"J Behav Health"
,,,"Oncology & hematology review","Oncol Hematol Rev","Oncology and hematology review","Oncol Hematol Rev"
,2277-9175,2277-9175,"Advanced biomedical research","Adv Biomed Res",,"Adv Biomed Res"
2287-2728,2287-285X,2287-2728,"Clinical and molecular hepatology.","Clin Mol Hepatol",CMH,"Clin Mol Hepatol"
,2280-8000,,"Journal of applied biomaterials & functional materials","J Appl Biomater Function Mater","Journal of applied biomaterials and functional materials","J Appl Biomater Function Mater"
2161-9549,2161-9565,2161-9549,"Freshwater science.","Freshw Sci",,"Freshw Sci"
,,,"Cell & developmental biology","Cell Dev Biol",,"Cell Dev Biol"
,2167-7964,2167-7964,"OMICS journal of radiology","OMICS J Radiol",,"OMICS J Radiol"
,2047-6396,,"BoneKEy reports","Bonekey Rep","International Bone and Mineral Society boneKEy reports","Bonekey Rep"
,2046-3758,2046-3758,"Bone & joint research","Bone Joint Res","Bone and joint research","Bone Joint Res"
2048-7193,2048-7207,2048-7193,"Journal of the Pediatric Infectious Diseases Society.","J Pediatric Infect Dis Soc",JPIDS,"J Pediatric Infect Dis Soc"
1927-6141,,1927-6141,"ORNAC journal.","ORNAC J","Operating Room Nurses Association of Canada journal","ORNAC J"
2218-676X,2219-6803,2218-676X,"Translational cancer research.","Transl Cancer Res",,"Transl Cancer Res"
,2165-591X,165-591X,"American journal of neurodegenerative disease.","Am J Neurodegener Dis","Am. j. neurodegener dis","Am J Neurodegener Dis"
,,,"BioTechniques. Rapid dispatches","Biotech Rapid Dispatches",,"Biotech Rapid Dispatches"
,2046-2530,2046-2530,Cilia,Cilia,,Cilia
2224-5820,2224-5839,,"Annals of palliative medicine.","Ann Palliat Med",,"Ann Palliat Med"
,2047-2994,2047-2994,"Antimicrobial resistance and infection control","Antimicrob Resist Infect Control",ARIC,"Antimicrob Resist Infect Control"
,2001-0370,2001-0370,"Computational and structural biotechnology journal","Comput Struct Biotechnol J",,"Comput Struct Biotechnol J"
,,,"Asian journal of biological and life sciences.","Asian J Biol Life Sci",,"Asian J Biol Life Sci"
2253-654X,2253-8070,2253-654X,"Revista española de medicina nuclear e imagen molecular.","Rev Esp Med Nucl Imagen Mol",REMNIM,"Rev Esp Med Nucl Imagen Mol"
,2164-957X,,"Global advances in health and medicine : improving healthcare outcomes worldwide.","Glob Adv Health Med",,"Glob Adv Health Med"
2234-7658,2234-7666,2234-7658,"Restorative dentistry & endodontics.","Restor Dent Endod","Restorative dentistry and endodontics","Restor Dent Endod"
,2045-4015,2045-4015,"Israel journal of health policy research","Isr J Health Policy Res",IJHPR,"Isr J Health Policy Res"
0908-4282,1532-4826,0908-4282,"Applied neuropsychology. Adult","Appl Neuropsychol Adult",,"Appl Neuropsychol Adult"
,2224-7696,,Immuno-gastroenterology,Immunogastroenterology,,Immunogastroenterology
2161-783X,2161-7856,,"Games for health.","Games Health",,"Games Health"
2047-7724,2047-7732,,"Pathogens and global health.","Pathog Glob Health",PGH,"Pathog Glob Health"
2046-9047,2046-9055,2046-9047,"Paediatrics and international child health.","Paediatr Int Child Health",,"Paediatr Int Child Health"
2047-3087,,,"International journal of nursing knowledge.","Int J Nurs Knowl",,"Int J Nurs Knowl"
2234-7518,2005-372X,,"Korean journal of orthodontics.","Korean J Orthod",,"Korean J Orthod"
2224-476X,2224-4778,,"Translational gastrointestinal cancer.","Transl Gastrointest Cancer",,"Transl Gastrointest Cancer"
,2242-1300,2242-1300,"Bioinvasions records","Bioinvasions Rec",,"Bioinvasions Rec"
,2162-2531,,"Molecular therapy. Nucleic acids","Mol Ther Nucleic Acids","Nucleic acids","Mol Ther Nucleic Acids"
2192-2640,2192-2659,2192-2640,"Advanced healthcare materials.","Adv Healthc Mater",,"Adv Healthc Mater"
2261-3684,2261-2211,,"Médecine et santé tropicales.","Med Sante Trop",,"Med Sante Trop"
,1925-7066,,"The international journal of alcohol and drug research","Int J Alcohol Drug Res",,"Int J Alcohol Drug Res"
2212-5345,2212-5353,2212-5345,"Respiratory investigation.","Respir Investig",,"Respir Investig"
2223-4683,2223-4691,,"Translational andrology and urology.","Transl Androl Urol",,"Transl Androl Urol"
2165-5979,2165-5987,,Bioengineered.,Bioengineered,,Bioengineered
,2192-6506,,ChemPlusChem,Chempluschem,"Chem Plus Chem",Chempluschem
2193-6331,2193-634X,2193-634X,"Journal of neurological surgery. Part B, Skull base.","J Neurol Surg B Skull Base","Skull base","J Neurol Surg B Skull Base"
2279-9028,2279-9036,2279-9028,"Journal of public health research","J Public health Res",,"J Public health Res"
2193-6315,2193-6323,2193-6315,"Journal of neurological surgery. Part A, Central European neurosurgery.","J Neurol Surg A Cent Eur Neurosurg","Central European neurosurgery","J Neurol Surg A Cent Eur Neurosurg"
2157-3883,2157-3891,,"International perspectives in psychology : research, practice, consultation.","Int Perspect Psychol",,"Int Perspect Psychol"
1927-5196,1927-520X,,"Journal of buffalo science.","J Buffalo Sci",,"J Buffalo Sci"
2162-2590,2162-2604,,"Psychodynamic psychiatry.","Psychodyn Psychiatry",,"Psychodyn Psychiatry"
,2046-4053,2046-4053,"Systematic reviews","Syst Rev",,"Syst Rev"
,2047-9980,2047-9980,"Journal of the American Heart Association","J Am Heart Assoc",JAHA,"J Am Heart Assoc"
2165-9370,2165-9389,2165-9370,"Open journal of medical psychology.","Open J Med Psychol",OJMP,"Open J Med Psychol"
2211-3649,2211-3657,,"Journal of obsessive-compulsive and related disorders","J Obsessive Compuls Relat Disord",JOCRD,"J Obsessive Compuls Relat Disord"
2162-4178,2162-4186,,"Biological and biomedical reports.","Biol Biomed Rep",,"Biol Biomed Rep"
,2165-7939,2165-7939,"Journal of spine","J Spine",Spine,"J Spine"
,2211-0356,2211-0356,"Multiple sclerosis and related disorders","Mult Scler Relat Disord",MSARD,"Mult Scler Relat Disord"
,2157-9024,,Oncogenesis,Oncogenesis,,Oncogenesis
,2050-084X,,eLife,elife,,elife
2044-9038,2044-9046,2044-9038,"Clinical practice.","Clin Pract (Lond)",,"Clin Pract (Lond)"
,2161-3303,,"Current obstetrics and gynecology reports","Curr Obstet Gynecol Rep",,"Curr Obstet Gynecol Rep"
2164-7844,2164-7860,,"BioResearch open access","Biores Open Access","Bioresearch OA","Biores Open Access"
2048-8505,2048-8513,,"Clinical kidney journal.","Clin Kidney J",CKJ,"Clin Kidney J"
2165-8218,2165-8242,2165-8242,"Hawai'i journal of medicine & public health : a journal of Asia Pacific Medicine & Public Health.","Hawaii J Med Public Health","Hawai'i journal of medicine and public health","Hawaii J Med Public Health"
,2160-4150,,"American journal of stem cells","Am J Stem Cells","Am. j. stem cells","Am J Stem Cells"
,2046-9063,,"Aquatic biosystems","Aquat Biosyst",,"Aquat Biosyst"
,2162-4968,,"Current obesity reports","Curr Obes Rep",,"Curr Obes Rep"
2157-6564,2157-6580,2157-6564,"Stem cells translational medicine.","Stem Cells Transl Med",,"Stem Cells Transl Med"
,2046-6390,2046-6390,"Biology open","Biol Open",BIO,"Biol Open"
2234-6163,2234-6171,2234-6163,"Archives of plastic surgery.","Arch Plast Surg",APS,"Arch Plast Surg"
2042-6305,2042-6313,2042-6305,"Journal of comparative effectiveness research.","J Comp Eff Res",JCER,"J Comp Eff Res"
2211-3681,,,"Journal of applied research in memory and cognition.","J Appl Res Mem Cogn",,"J Appl Res Mem Cogn"
2212-4403,2212-4411,,"Oral surgery, oral medicine, oral pathology and oral radiology.","Oral Surg Oral Med Oral Pathol Oral Radiol",OOOO,"Oral Surg Oral Med Oral Pathol Oral Radiol"
1759-7684,1759-7692,,"Wiley interdisciplinary reviews. Developmental biology","Wiley Interdiscip Rev Dev Biol","Interdisciplinary reviews. Developmental biology","Wiley Interdiscip Rev Dev Biol"
,2245-1919,2245-1919,"Danish medical journal","Dan Med J",DMJ,"Dan Med J"
2165-0799,2165-0969,2165-0799,"Workplace health & safety.","Workplace Health Saf","Workplace health and safety","Workplace Health Saf"
2090-8865,2090-8873,,"Journal of analytical methods in chemistry","J Anal Methods Chem",,"J Anal Methods Chem"
,2161-5063,2161-5063,"ACS synthetic biology","ACS Synth Biol",,"ACS Synth Biol"
2212-2672,,,"Journal of the Academy of Nutrition and Dietetics.","J Acad Nutr Diet",,"J Acad Nutr Diet"
2047-2404,2047-2412,,"European heart journal cardiovascular Imaging.","Eur Heart J Cardiovasc Imaging","Cardiovascular imaging","Eur Heart J Cardiovasc Imaging"
,2211-1247,,"Cell reports","Cell Rep",,"Cell Rep"
1946-6536,1946-6544,,"Human gene therapy methods.","Hum Gene Ther Methods","Human gene therapy. Part B. Methods","Hum Gene Ther Methods"
2164-6821,,2164-6821,"The Neurodiagnostic journal.","Neurodiagn J",,"Neurodiagn J"
2164-5698,2164-5701,,"GM crops & food.","GM Crops Food","GM crops and food","GM Crops Food"
2164-5515,2164-554X,,"Human vaccines & immunotherapeutics.","Hum Vaccin Immunother","Human vaccines and immunotherapeutics","Hum Vaccin Immunother"
2212-4926,2212-4934,2212-4926,"Advances in biological regulation.","Adv Biol Regul",,"Adv Biol Regul"
2047-6302,2047-6310,2047-6302,"Pediatric obesity.","Pediatr Obes",,"Pediatr Obes"
2160-4096,2160-410X,2160-4096,"Couple & family psychology.","Couple Family Psychol","Couple and family psychology","Couple Family Psychol"
2234-3806,2234-3814,,"Annals of laboratory medicine.","Ann Lab Med",,"Ann Lab Med"
2163-0755,2163-0763,,"The journal of trauma and acute care surgery.","J Trauma Acute Care Surg",,"J Trauma Acute Care Surg"
2162-4011,2162-402X,,Oncoimmunology.,Oncoimmunology,,Oncoimmunology
,2190-4618,,"Wiley interdisciplinary reviews. Membrane transport and signaling","Wiley Interdiscip Rev Membr Transp Signal","Membrane transport and signaling","Wiley Interdiscip Rev Membr Transp Signal"
2211-5706,,,"Journal de radiologie diagnostique et interventionnelle.",,,
,2211-5684,,"Diagnostic and interventional imaging","Diagn Interv Imaging",,"Diagn Interv Imaging"
2162-3945,2162-397X,,Adipocyte.,Adipocyte,,Adipocyte
2047-4873,2047-4881,2047-4873,"European journal of preventive cardiology.","Eur J Prev Cardiol",,"Eur J Prev Cardiol"
,2155-983X,2155-983X,"Journal of nanomedicine & biotherapeutic discovery","J Nanomedine Biotherapeutic Discov","Journal of nanomedicine and biotherapeutic discovery","J Nanomedine Biotherapeutic Discov"
,2076-3425,2076-3425,"Brain sciences","Brain Sci",,"Brain Sci"
,,,"Coyuntura demográfica","Coyunt Demogr",,"Coyunt Demogr"
,2161-105X,,"Journal of pulmonary & respiratory medicine","J Pulm Respir Med","Journal of pulmonary and respiratory medicine","J Pulm Respir Med"
2158-0103,2158-0715,2158-0715,"Forest science and technology.","Forest Sci Technol",,"Forest Sci Technol"
2249-7676,2249-7668,2249-7676,"International journal of phramcology and toxicology.","Int J Pharmacol Toxicol",,"Int J Pharmacol Toxicol"
2090-6161,2090-617X,2090-6161,"ISRN orthopedics","ISRN Orthop",Orthopedics,"ISRN Orthop"
,2161-0681,,"Journal of clinical & experimental pathology","J Clin Exp Pathol","Journal of clinical and experimental pathology","J Clin Exp Pathol"
2095-0195,2095-0209,2095-0195,"Frontiers of earth science.","Front Earth Sci",,"Front Earth Sci"
2045-5275,2045-5283,2045-5275,"European oncology & haematology.","Eur Oncol Haematol","European oncology and haematology","Eur Oncol Haematol"
,1179-9889,1179-9889,"Blood and lymphatic cancer : targets and therapy.","Blood Lymphat Cancer",,"Blood Lymphat Cancer"
2162-0555,2162-0563,2162-0555,"Chinese sociological review.","Chin Sociol Rev",CSR,"Chin Sociol Rev"
,2218-273X,2218-273X,Biomolecules,Biomolecules,,Biomolecules
,,,"The Bridge","Bridge (Kans City)",,"Bridge (Kans City)"
,2211-2863,,"Results in pharma sciences","Results Pharma Sci",,"Results Pharma Sci"
2162-1969,2162-1977,2162-1969,"Open journal of physical chemistry.","Open J Phys Chem",OJPC,"Open J Phys Chem"
2156-8960,2156-9053,,"The international journal of health, wellness & society.","Int J Health Wellness Soc","International journal of health, wellness and society","Int J Health Wellness Soc"
,2161-0444,,"Medicinal chemistry","Med Chem (Los Angeles)",,"Med Chem (Los Angeles)"
2090-309X,2090-3103,2090-309X,Lymphoma,Lymphoma,,Lymphoma
2010-3638,,,"International journal of bioscience, biochemistry, bioinformatics (IJBBB).","Int J Biosci Biochem Bioinforma",IJBBB,"Int J Biosci Biochem Bioinforma"
2090-4614,2090-4622,2090-4614,"ISRN ecology.","ISRN Ecol",,"ISRN Ecol"
,2230-2492,2230-2492,"Current biomarker findings","Curr Biomark Find","Journal of current biomarker findings","Curr Biomark Find"
,2165-7025,2165-7025,"Journal of novel physiotherapies","J Nov Physiother",,"J Nov Physiother"
2156-342X,2156-3446,2156-342X,"IEEE transactions on terahertz science and technology.","IEEE Trans Terahertz Sci Technol","Terahertz science and technology","IEEE Trans Terahertz Sci Technol"
2228-6705,2228-6500,2228-6500,"Biyutiknuluzhī-i kishāvarzī.","Biyutiknuluzhii Kishavarzi","Majallah-i Biyutiknuluzhī-i kishāvarzī","Biyutiknuluzhii Kishavarzi"
,2039-4403,2039-439X,"Nursing reports","Nurs Rep",,"Nurs Rep"
,2157-7595,2157-7595,"Journal of yoga & physical therapy","J Yoga Phys Ther",,"J Yoga Phys Ther"
2210-6006,2210-6014,2210-6006,"Journal of epidemiology and global health.","J Epidemiol Glob Health",,"J Epidemiol Glob Health"
2090-6943,2090-6951,2090-6951,"Case reports in transplantation.","Case Rep Transplant",,"Case Rep Transplant"
,1664-5510,1664-5510,"Case reports in nephrology and urology","Case Rep Nephrol Urol",,"Case Rep Nephrol Urol"
2090-648X,2090-6498,2090-6498,"Case reports in emergency medicine","Case Rep Emerg Med",,"Case Rep Emerg Med"
2090-3219,2090-3227,2090-3227,"Leukemia research and treatment","Leuk Res Treatment",,"Leuk Res Treatment"
2090-6463,2090-6471,2090-6463,"Case reports in dermatological medicine","Case Rep Dermatol Med",,"Case Rep Dermatol Med"
2090-6749,2090-6757,2090-6757,"Case reports in orthopedics","Case Rep Orthop",,"Case Rep Orthop"
2157-9083,2157-9091,,"Journal of biomaterials and tissue engineering.","J Biomater Tissue Eng",,"J Biomater Tissue Eng"
,2251-6581,2251-6581,"Journal of diabetes and metabolic disorders","J Diabetes Metab Disord","Journal of diabetes & metabolic disorders","J Diabetes Metab Disord"
,2211-3398,2211-3398,"Current opinion in chemical engineering","Curr Opin Chem Eng",,"Curr Opin Chem Eng"
,2190-9172,,"Dermatology and therapy","Dermatol Ther (Heidelb)",,"Dermatol Ther (Heidelb)"
2165-882X,2165-8846,2165-882X,"International journal of agriculture and forestry.","Int J Agric For",IJAF,"Int J Agric For"
,2220-3176,2220-3176,"World journal of clinical infectious diseases","World J Clin Infect Dis",,"World J Clin Infect Dis"
,2153-0769,,"Metabolomics : open access.","Metabolomics (Los Angel)",,"Metabolomics (Los Angel)"
,2192-0567,,"Energy, sustainability and society","Energy Sustain Soc",,"Energy Sustain Soc"
,2248-9622,2248-9622,"International journal of engineering research and applications","Int J Eng Res Appl",IJERA,"Int J Eng Res Appl"
,2049-7040,2049-7040,"Journal of terrorism research","J Terror Res",,"J Terror Res"
,2174-9094,2174-9094,"The international Arabic journal of antimicrobial agents","Int Arab J Antimicrob Agents",IAJAA,"Int Arab J Antimicrob Agents"
,,,"Current cellular biochemistry","Curr Cell Biochem",,"Curr Cell Biochem"
,2159-3930,2159-3930,"Optical materials express","Opt Mater Express",,"Opt Mater Express"
2161-6620,2161-6663,2161-6620,"American journal of molecular biology.","Am J Mol Biol",AJMB,"Am J Mol Biol"
2221-1896,2223-0343,2221-1896,"Research opinions in animal & veterinary sciences.","Res Opin Anim Vet Sci","Research opinions in animal and veterinary sciences","Res Opin Anim Vet Sci"
,2161-1041,2161-1041,"Hereditary genetics : current research.","Hereditary Genet",,"Hereditary Genet"
,2167-0870,2167-0870,"Journal of clinical trials","J Clin Trials",,"J Clin Trials"
,1179-9900,1179-9900,"Degenerative neurological and neuromuscular disease","Degener Neurol Neuromuscul Dis",,"Degener Neurol Neuromuscul Dis"
2164-2842,2164-2869,2164-2842,"Open journal of nephrology.","Open J Nephrol",OJneph,"Open J Nephrol"
,2161-0460,,"Journal of Alzheimer's Disease and Parkinsonism","J Alzheimers Dis Parkinsonism",,"J Alzheimers Dis Parkinsonism"
,2090-7907,2090-7907,"ISRN molecular biology","ISRN Mol Biol",,"ISRN Mol Biol"
,1179-9870,1179-9870,"Advances in genomics and genetics","Adv Genomics Genet","Journal of advances in genomics and genetics","Adv Genomics Genet"
,2165-7491,2165-7491,"Journal of fertilization in vitro","J Fertili In Vitro","Fertilization in vitro","J Fertili In Vitro"
1309-4572,2146-3298,1309-4572,"Journal of experimental and integrative medicine.",,,
2164-229X,,2164-229X,"IEEE ... International Conference on Computational Advances in Bio and Medical Sciences : [proceedings].","IEEE Int Conf Comput Adv Bio Med Sci",ICCABS,"IEEE Int Conf Comput Adv Bio Med Sci"
2248-311X,,2248-311X,"Porcine research.","Porcine Res","Porc res","Porcine Res"
2090-570X,2090-5718,2090-5718,"ISRN pathology","ISRN Pathol","International Scholarly Research Network pathology","ISRN Pathol"
2090-2972,2090-2980,2090-2980,"Epidemiology research international","Epidemiol Res Int",,"Epidemiol Res Int"
2162-2493,2162-2507,2162-2493,"Healthcare philanthropy.","Healthc Philanthr",,"Healthc Philanthr"
2152-5080,2152-5099,2152-5080,"International journal for uncertainty quantification.","Int J Uncertain Quantif",,"Int J Uncertain Quantif"
,2165-7092,2165-7092,"Pancreatic disorders & therapy","Pancreat Disord Ther","Pancreatic disorders and therapy","Pancreat Disord Ther"
2162-2000,2162-2019,2162-2019,"World journal of neuroscience.","World J Neurosci",WJNS,"World J Neurosci"
,2165-7890,2165-7890,"Autism-open access","Autism Open Access","Autism an open access journal","Autism Open Access"
